model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,mcc_mean,mcc_std
XGBoost,0.8407676299032946,0.008952015139018115,0.6727572930300748,0.022864059322179067,0.4764851464302187,0.03031411049192629
LightGBM,0.8393404358908269,0.0075569156836555055,0.6699270141514498,0.018753048808856154,0.47265692673979903,0.02862382534604442
RandomForest,0.836805853882063,0.010974207232552421,0.6701911205404946,0.028223172584594055,0.475623415239316,0.02689536920639823
