fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0030581039755351682,0.999555766582489
0.0,0.01529051987767584,0.998629093170166
0.0,0.021406727828746176,0.9983121156692505
0.0,0.0764525993883792,0.9965774416923523
0.006993006993006993,0.0764525993883792,0.9964993000030518
0.006993006993006993,0.1162079510703364,0.9955487251281738
0.013986013986013986,0.11926605504587157,0.9955377578735352
0.013986013986013986,0.14067278287461774,0.9948603510856628
0.02097902097902098,0.14067278287461774,0.9945899248123169
0.02097902097902098,0.1834862385321101,0.9920920133590698
0.02097902097902098,0.18960244648318042,0.9917844533920288
0.02097902097902098,0.19877675840978593,0.9913498163223267
0.027972027972027972,0.19877675840978593,0.9913055300712585
0.027972027972027972,0.21100917431192662,0.9895749688148499
0.03496503496503497,0.21100917431192662,0.9894124865531921
0.03496503496503497,0.25688073394495414,0.9849961996078491
0.03496503496503497,0.26605504587155965,0.9845802783966064
0.03496503496503497,0.3180428134556575,0.9752039909362793
0.04195804195804196,0.3180428134556575,0.9751833081245422
0.04195804195804196,0.3211009174311927,0.9739277362823486
0.04195804195804196,0.327217125382263,0.9739165306091309
0.04195804195804196,0.3577981651376147,0.965559720993042
0.04895104895104895,0.3577981651376147,0.9644265174865723
0.04895104895104895,0.39755351681957185,0.9517099857330322
0.055944055944055944,0.39755351681957185,0.9514554738998413
0.055944055944055944,0.40672782874617736,0.9447668790817261
0.06293706293706294,0.40672782874617736,0.9426125884056091
0.06293706293706294,0.41590214067278286,0.9397222399711609
0.06993006993006994,0.41590214067278286,0.9382454752922058
0.06993006993006994,0.42507645259938837,0.9346446990966797
0.07692307692307693,0.42507645259938837,0.9337213039398193
0.07692307692307693,0.44036697247706424,0.9305170178413391
0.07692307692307693,0.44648318042813456,0.9283331036567688
0.07692307692307693,0.4525993883792049,0.9251618385314941
0.08391608391608392,0.4525993883792049,0.9239455461502075
0.08391608391608392,0.46788990825688076,0.9167289733886719
0.09090909090909091,0.46788990825688076,0.916108250617981
0.09090909090909091,0.4709480122324159,0.914638102054596
0.0979020979020979,0.4709480122324159,0.9094442129135132
0.0979020979020979,0.48623853211009177,0.9014657735824585
0.1048951048951049,0.48623853211009177,0.8994442820549011
0.1048951048951049,0.4984709480122324,0.8920629024505615
0.11888111888111888,0.4984709480122324,0.8874624967575073
0.11888111888111888,0.5168195718654435,0.875326931476593
0.11888111888111888,0.5229357798165137,0.8735964894294739
0.11888111888111888,0.5412844036697247,0.855151891708374
0.11888111888111888,0.5474006116207951,0.8509746193885803
0.13286713286713286,0.5474006116207951,0.8476844429969788
0.13286713286713286,0.5504587155963303,0.8466059565544128
0.13986013986013987,0.5504587155963303,0.8456836342811584
0.13986013986013987,0.5626911314984709,0.8353589773178101
0.13986013986013987,0.5688073394495413,0.8303514122962952
0.13986013986013987,0.5749235474006116,0.8267419934272766
0.13986013986013987,0.581039755351682,0.8245382308959961
0.13986013986013987,0.5840978593272171,0.8237456679344177
0.14685314685314685,0.5840978593272171,0.8217980265617371
0.14685314685314685,0.599388379204893,0.805021345615387
0.15384615384615385,0.599388379204893,0.8041294813156128
0.15384615384615385,0.6024464831804281,0.8022168874740601
0.16783216783216784,0.6024464831804281,0.7997081279754639
0.16783216783216784,0.6207951070336392,0.7808704972267151
0.18181818181818182,0.6207951070336392,0.7712066769599915
0.18181818181818182,0.6269113149847095,0.7690238356590271
0.1958041958041958,0.6269113149847095,0.7563902735710144
0.1958041958041958,0.636085626911315,0.7484733462333679
0.20279720279720279,0.636085626911315,0.7469282746315002
0.20279720279720279,0.6422018348623854,0.743594229221344
0.2097902097902098,0.6422018348623854,0.7431473731994629
0.2097902097902098,0.6513761467889908,0.7383244037628174
0.21678321678321677,0.6513761467889908,0.7371976375579834
0.21678321678321677,0.6574923547400612,0.73544842004776
0.22377622377622378,0.6574923547400612,0.7354115843772888
0.22377622377622378,0.691131498470948,0.7015538215637207
0.23076923076923078,0.691131498470948,0.6911150813102722
0.23076923076923078,0.7003058103975535,0.686194896697998
0.23776223776223776,0.7003058103975535,0.6860138773918152
0.23776223776223776,0.709480122324159,0.6761227250099182
0.24475524475524477,0.709480122324159,0.673136293888092
0.24475524475524477,0.7125382262996942,0.6648430228233337
0.25874125874125875,0.7125382262996942,0.6553391814231873
0.25874125874125875,0.7186544342507645,0.6333096623420715
0.26573426573426573,0.7186544342507645,0.6261544227600098
0.26573426573426573,0.7217125382262997,0.6196467280387878
0.2727272727272727,0.7217125382262997,0.6188653707504272
0.2727272727272727,0.7247706422018348,0.6186246871948242
0.27972027972027974,0.7247706422018348,0.6162553429603577
0.27972027972027974,0.7339449541284404,0.6029701232910156
0.2937062937062937,0.7339449541284404,0.600429892539978
0.3006993006993007,0.7339449541284404,0.598670244216919
0.3006993006993007,0.7431192660550459,0.5908353328704834
0.3076923076923077,0.7431192660550459,0.5899705290794373
0.3076923076923077,0.746177370030581,0.5875780582427979
0.3146853146853147,0.746177370030581,0.5781779289245605
0.3146853146853147,0.7522935779816514,0.5663403868675232
0.32867132867132864,0.7522935779816514,0.5620749592781067
0.32867132867132864,0.7920489296636085,0.5252447724342346
0.34265734265734266,0.7920489296636085,0.5118234753608704
0.34265734265734266,0.8012232415902141,0.5078244805335999
0.34965034965034963,0.8012232415902141,0.506702721118927
0.34965034965034963,0.8226299694189603,0.4696776568889618
0.36363636363636365,0.8226299694189603,0.4683234691619873
0.36363636363636365,0.8256880733944955,0.4673713147640228
0.38461538461538464,0.8256880733944955,0.44790780544281006
0.38461538461538464,0.8287461773700305,0.44241833686828613
