precision,recall,threshold
0.6957446808510638,1.0,0.0012216276
0.697228144989339,1.0,0.0015350049
0.6987179487179487,1.0,0.0015844158
0.7002141327623126,1.0,0.002199138
0.7017167381974249,1.0,0.0030236875
0.7032258064516129,1.0,0.004108282
0.7047413793103449,1.0,0.004943015
0.7062634989200864,1.0,0.0055650845
0.7077922077922078,1.0,0.0058310176
0.7093275488069414,1.0,0.005833548
0.7108695652173913,1.0,0.0061788033
0.7124183006535948,1.0,0.00648588
0.7139737991266376,1.0,0.007158798
0.7155361050328227,1.0,0.0077664396
0.7171052631578947,1.0,0.010627219
0.7186813186813187,1.0,0.012596299
0.7202643171806168,1.0,0.0144579485
0.7218543046357616,1.0,0.023766039
0.7234513274336283,1.0,0.025548793
0.7250554323725056,1.0,0.02726887
0.7266666666666667,1.0,0.027598169
0.7282850779510023,1.0,0.045997355
0.7299107142857143,1.0,0.047145616
0.7315436241610739,1.0,0.0547449
0.7331838565022422,1.0,0.059194475
0.7348314606741573,1.0,0.059983294
0.7364864864864865,1.0,0.067168176
0.7381489841986456,1.0,0.07107896
0.7398190045248869,1.0,0.07569041
0.7414965986394558,1.0,0.08347521
0.7431818181818182,1.0,0.084860615
0.744874715261959,1.0,0.09135941
0.7465753424657534,1.0,0.09175237
0.7482837528604119,1.0,0.09712329
0.7477064220183486,0.9969418960244648,0.09901377
0.7494252873563219,0.9969418960244648,0.101110145
0.7488479262672811,0.9938837920489296,0.10765314
0.7505773672055427,0.9938837920489296,0.11251276
0.7523148148148148,0.9938837920489296,0.112771116
0.7540603248259861,0.9938837920489296,0.11410962
0.7558139534883721,0.9938837920489296,0.11715166
0.7575757575757576,0.9938837920489296,0.11811664
0.7570093457943925,0.9908256880733946,0.11931736
0.7587822014051522,0.9908256880733946,0.12013001
0.7582159624413145,0.9877675840978594,0.1219173
0.7576470588235295,0.9847094801223242,0.12237348
0.7594339622641509,0.9847094801223242,0.13139263
0.7588652482269503,0.981651376146789,0.1348021
0.7606635071090048,0.981651376146789,0.13486816
0.7600950118764845,0.9785932721712538,0.14018337
0.7595238095238095,0.9755351681957186,0.14462851
0.7613365155131265,0.9755351681957186,0.14566907
0.7631578947368421,0.9755351681957186,0.15120298
0.7649880095923262,0.9755351681957186,0.15638769
0.7668269230769231,0.9755351681957186,0.15838206
0.7662650602409639,0.9724770642201835,0.15879738
0.7681159420289855,0.9724770642201835,0.16382575
0.7675544794188862,0.9694189602446484,0.16528715
0.7669902912621359,0.9663608562691132,0.16905932
0.7688564476885644,0.9663608562691132,0.16993815
0.7682926829268293,0.963302752293578,0.17065176
0.7677261613691931,0.9602446483180428,0.1713436
0.7696078431372549,0.9602446483180428,0.17264114
0.7714987714987716,0.9602446483180428,0.1752773
0.770935960591133,0.9571865443425076,0.18081334
0.7703703703703704,0.9541284403669725,0.18094075
0.7722772277227723,0.9541284403669725,0.18170582
0.7741935483870968,0.9541284403669725,0.18371762
0.7761194029850746,0.9541284403669725,0.19011505
0.7755610972568578,0.9510703363914373,0.19678299
0.775,0.9480122324159022,0.19764437
0.7744360902255639,0.944954128440367,0.19874911
0.7763819095477387,0.944954128440367,0.20652027
0.7758186397984886,0.9418960244648318,0.2076637
0.7777777777777778,0.9418960244648318,0.20933339
0.779746835443038,0.9418960244648318,0.2122101
0.7817258883248731,0.9418960244648318,0.21360104
0.7811704834605598,0.9388379204892966,0.21940182
0.7806122448979592,0.9357798165137615,0.22163627
0.782608695652174,0.9357798165137615,0.22305095
0.782051282051282,0.9327217125382263,0.23356445
0.7840616966580977,0.9327217125382263,0.23826875
0.7835051546391752,0.9296636085626911,0.24474452
0.7829457364341085,0.926605504587156,0.24682665
0.7823834196891192,0.9235474006116208,0.24919285
0.7844155844155845,0.9235474006116208,0.25005585
0.7864583333333334,0.9235474006116208,0.25388926
0.7859007832898173,0.9204892966360856,0.2550872
0.7853403141361257,0.9174311926605505,0.25516835
0.7874015748031497,0.9174311926605505,0.25847733
0.7868421052631579,0.9143730886850153,0.2656939
0.7889182058047494,0.9143730886850153,0.27648416
0.791005291005291,0.9143730886850153,0.2808094
0.7931034482758621,0.9143730886850153,0.28311053
0.7952127659574468,0.9143730886850153,0.28730294
0.7946666666666666,0.9113149847094801,0.28853992
0.7967914438502673,0.9113149847094801,0.2892613
0.7962466487935657,0.908256880733945,0.29106438
0.7983870967741935,0.908256880733945,0.29267144
0.8005390835579514,0.908256880733945,0.29479498
0.8027027027027027,0.908256880733945,0.2953
0.8048780487804879,0.908256880733945,0.29844004
0.8070652173913043,0.908256880733945,0.30365694
0.8065395095367848,0.9051987767584098,0.30939254
0.8087431693989071,0.9051987767584098,0.3127057
0.810958904109589,0.9051987767584098,0.31387267
0.8104395604395604,0.9021406727828746,0.32560202
0.8099173553719008,0.8990825688073395,0.3335049
0.8093922651933702,0.8960244648318043,0.33515832
0.8088642659279779,0.8929663608562691,0.33597678
0.8083333333333333,0.8899082568807339,0.33751947
0.807799442896936,0.8868501529051988,0.34029344
0.8072625698324022,0.8837920489296636,0.3414028
0.8067226890756303,0.8807339449541285,0.34144086
0.8061797752808989,0.8776758409785933,0.3420484
0.8056338028169014,0.8746177370030581,0.3436742
0.8050847457627118,0.8715596330275229,0.3467031
0.8073654390934845,0.8715596330275229,0.3491345
0.8096590909090909,0.8715596330275229,0.34917885
0.8091168091168092,0.8685015290519877,0.35410428
0.8114285714285714,0.8685015290519877,0.35699794
0.8108882521489972,0.8654434250764526,0.36126807
0.8132183908045977,0.8654434250764526,0.37018076
0.8126801152737753,0.8623853211009175,0.37866953
