precision,recall,threshold
0.05106382978723404,1.0,7.0301608e-06
0.0511727078891258,1.0,1.263947e-05
0.05128205128205128,1.0,1.4132498e-05
0.05139186295503212,1.0,1.49936905e-05
0.05150214592274678,1.0,1.5112378e-05
0.05161290322580645,1.0,1.6123226e-05
0.05172413793103448,1.0,1.7432607e-05
0.05183585313174946,1.0,1.920298e-05
0.05194805194805195,1.0,1.9438612e-05
0.052060737527114966,1.0,2.021016e-05
0.05217391304347826,1.0,2.0693227e-05
0.05228758169934641,1.0,2.1123045e-05
0.05240174672489083,1.0,2.117739e-05
0.0525164113785558,1.0,2.1239439e-05
0.05263157894736842,1.0,2.1493632e-05
0.05274725274725275,1.0,2.1999374e-05
0.05286343612334802,1.0,2.2192378e-05
0.052980132450331126,1.0,2.2223707e-05
0.05309734513274336,1.0,2.2356026e-05
0.05321507760532151,1.0,2.2489774e-05
0.05333333333333334,1.0,2.2720467e-05
0.053452115812917596,1.0,2.3028007e-05
0.05357142857142857,1.0,2.3080116e-05
0.053691275167785234,1.0,2.381108e-05
0.053811659192825115,1.0,2.3932875e-05
0.05393258426966292,1.0,2.3987272e-05
0.05405405405405406,1.0,2.4698866e-05
0.05417607223476298,1.0,2.6570746e-05
0.05429864253393665,1.0,2.675797e-05
0.05442176870748299,1.0,2.7428123e-05
0.05454545454545454,1.0,2.8025577e-05
0.05466970387243736,1.0,2.9528155e-05
0.0547945205479452,1.0,3.0101171e-05
0.05491990846681922,1.0,3.0273353e-05
0.05504587155963303,1.0,3.044129e-05
0.05517241379310345,1.0,3.0923773e-05
0.055299539170506916,1.0,3.150212e-05
0.05542725173210162,1.0,3.2258977e-05
0.05555555555555555,1.0,3.2749416e-05
0.05568445475638051,1.0,3.3849643e-05
0.05581395348837209,1.0,3.414826e-05
0.056074766355140186,1.0,3.440848e-05
0.05620608899297424,1.0,3.6217734e-05
0.056338028169014086,1.0,3.6636575e-05
0.05647058823529412,1.0,3.6788242e-05
0.05660377358490566,1.0,3.695284e-05
0.05673758865248227,1.0,3.7177364e-05
0.05687203791469194,1.0,3.7795675e-05
0.057007125890736345,1.0,3.820871e-05
0.05714285714285714,1.0,3.8412116e-05
0.057279236276849645,1.0,3.8837254e-05
0.05741626794258373,1.0,4.0200925e-05
0.05755395683453238,1.0,4.0301e-05
0.057692307692307696,1.0,4.0599225e-05
0.05783132530120482,1.0,4.1471936e-05
0.057971014492753624,1.0,4.1922984e-05
0.05811138014527845,1.0,4.1940828e-05
0.05825242718446602,1.0,4.2045733e-05
0.058394160583941604,1.0,4.2168722e-05
0.05853658536585366,1.0,4.3508622e-05
0.05867970660146699,1.0,4.4581022e-05
0.058823529411764705,1.0,4.571997e-05
0.05896805896805897,1.0,4.6217112e-05
0.059113300492610835,1.0,4.6588495e-05
0.0594059405940594,1.0,4.6709683e-05
0.05955334987593052,1.0,4.7350026e-05
0.05970149253731343,1.0,4.745829e-05
0.059850374064837904,1.0,4.7640595e-05
0.06,1.0,4.7683505e-05
0.06015037593984962,1.0,4.7933576e-05
0.06030150753768844,1.0,4.8486516e-05
0.060453400503778336,1.0,4.900589e-05
0.06060606060606061,1.0,4.903534e-05
0.060759493670886074,1.0,4.9342823e-05
0.061224489795918366,1.0,5.087811e-05
0.061381074168797956,1.0,5.214735e-05
0.06153846153846154,1.0,5.304312e-05
0.061696658097686374,1.0,5.3082018e-05
0.061855670103092786,1.0,5.3104995e-05
0.06201550387596899,1.0,5.321357e-05
0.06217616580310881,1.0,5.327681e-05
0.06233766233766234,1.0,5.4684093e-05
0.0625,1.0,5.590619e-05
0.06266318537859007,1.0,5.6071247e-05
0.06282722513089005,1.0,5.72808e-05
0.06299212598425197,1.0,5.7368303e-05
0.06315789473684211,1.0,5.898349e-05
0.0633245382585752,1.0,5.991762e-05
0.06349206349206349,1.0,6.0077626e-05
0.0636604774535809,1.0,6.0953185e-05
0.06382978723404255,1.0,6.470608e-05
0.064,1.0,6.541497e-05
0.06417112299465241,1.0,6.563929e-05
0.064343163538874,1.0,6.591233e-05
0.06451612903225806,1.0,6.656803e-05
0.06486486486486487,1.0,6.701822e-05
0.06504065040650407,1.0,6.8134555e-05
0.06521739130434782,1.0,6.966674e-05
0.0653950953678474,1.0,7.080529e-05
0.06557377049180328,1.0,7.1407405e-05
0.06575342465753424,1.0,7.196433e-05
0.06593406593406594,1.0,7.203018e-05
0.06611570247933884,1.0,7.25874e-05
0.06629834254143646,1.0,7.308059e-05
0.0664819944598338,1.0,7.407604e-05
0.06666666666666667,1.0,7.4457144e-05
0.06685236768802229,1.0,7.4695374e-05
0.0670391061452514,1.0,7.5169424e-05
0.06722689075630252,1.0,7.539715e-05
0.06741573033707865,1.0,7.6189186e-05
0.0676056338028169,1.0,7.691351e-05
0.06779661016949153,1.0,7.739066e-05
0.0679886685552408,1.0,7.7584016e-05
0.06818181818181818,1.0,8.035862e-05
0.06837606837606838,1.0,8.0409045e-05
0.06857142857142857,1.0,8.08731e-05
0.06876790830945559,1.0,8.087447e-05
0.06896551724137931,1.0,8.1277925e-05
0.069164265129683,1.0,8.181403e-05
0.06936416184971098,1.0,8.24528e-05
0.06956521739130435,1.0,8.248029e-05
0.06976744186046512,1.0,8.2694045e-05
0.06997084548104957,1.0,8.2767125e-05
0.07017543859649122,1.0,8.406805e-05
0.07038123167155426,1.0,8.4361694e-05
0.07058823529411765,1.0,8.572141e-05
0.07079646017699115,1.0,8.576317e-05
0.07100591715976332,1.0,8.582776e-05
0.0712166172106825,1.0,8.679532e-05
